Attribute,Commodity,CommodityType,Units,YearType,Year,Value
Harvested acres,Soybeans,Crops,Million acres,Market year,2024/25,89.7
Harvested acres,Soybeans,Crops,Million acres,Market year,2025/26,89.7
Harvested acres,Soybeans,Crops,Million acres,Market year,2026/27,89.2
Harvested acres,Soybeans,Crops,Million acres,Market year,2027/28,89.2
Harvested acres,Soybeans,Crops,Million acres,Market year,2028/29,89.2
Harvested acres,Soybeans,Crops,Million acres,Market year,2029/30,89.2
Harvested acres,Soybeans,Crops,Million acres,Market year,2030/31,89.2
Harvested acres,Wheat,Crops,Million acres,Market year,2019/20,37.4
Harvested acres,Wheat,Crops,Million acres,Market year,2020/21,36.7
Harvested acres,Wheat,Crops,Million acres,Market year,2021/22,38.5
Harvested acres,Wheat,Crops,Million acres,Market year,2022/23,38.5
Harvested acres,Wheat,Crops,Million acres,Market year,2023/24,38.5
Harvested acres,Wheat,Crops,Million acres,Market year,2024/25,38.1
Harvested acres,Wheat,Crops,Million acres,Market year,2025/26,37.7
Harvested acres,Wheat,Crops,Million acres,Market year,2026/27,37.7
Harvested acres,Wheat,Crops,Million acres,Market year,2027/28,37.7
Harvested acres,Wheat,Crops,Million acres,Market year,2028/29,37.3
Harvested acres,Wheat,Crops,Million acres,Market year,2029/30,37.3
Harvested acres,Wheat,Crops,Million acres,Market year,2030/31,37.3
Planted acres,Barley,Crops,Million acres,Market year,2019/20,2.8
Planted acres,Barley,Crops,Million acres,Market year,2020/21,2.6
Planted acres,Barley,Crops,Million acres,Market year,2021/22,2.6
Planted acres,Barley,Crops,Million acres,Market year,2022/23,2.6
Planted acres,Barley,Crops,Million acres,Market year,2023/24,2.6
Planted acres,Barley,Crops,Million acres,Market year,2024/25,2.6
Planted acres,Barley,Crops,Million acres,Market year,2025/26,2.6
Planted acres,Barley,Crops,Million acres,Market year,2026/27,2.6
Planted acres,Barley,Crops,Million acres,Market year,2027/28,2.6
Planted acres,Barley,Crops,Million acres,Market year,2028/29,2.6
Planted acres,Barley,Crops,Million acres,Market year,2029/30,2.6
Planted acres,Barley,Crops,Million acres,Market year,2030/31,2.6
Planted acres,Corn,Crops,Million acres,Market year,2019/20,89.7
Planted acres,Corn,Crops,Million acres,Market year,2020/21,91
Planted acres,Corn,Crops,Million acres,Market year,2021/22,90
Planted acres,Corn,Crops,Million acres,Market year,2022/23,90
Planted acres,Corn,Crops,Million acres,Market year,2023/24,90
Planted acres,Corn,Crops,Million acres,Market year,2024/25,90
Planted acres,Corn,Crops,Million acres,Market year,2025/26,90
Planted acres,Corn,Crops,Million acres,Market year,2026/27,89
Planted acres,Corn,Crops,Million acres,Market year,2027/28,89
Planted acres,Corn,Crops,Million acres,Market year,2028/29,89
Planted acres,Corn,Crops,Million acres,Market year,2029/30,89
Planted acres,Corn,Crops,Million acres,Market year,2030/31,89
Planted acres,Upland Cotton,Crops,Million acres,Market year,2019/20,13.5
Planted acres,Upland Cotton,Crops,Million acres,Market year,2020/21,11.9
Planted acres,Upland Cotton,Crops,Million acres,Market year,2021/22,11.2
Planted acres,Upland Cotton,Crops,Million acres,Market year,2022/23,11.8
Planted acres,Upland Cotton,Crops,Million acres,Market year,2023/24,12
Planted acres,Upland Cotton,Crops,Million acres,Market year,2024/25,12.2
Planted acres,Upland Cotton,Crops,Million acres,Market year,2025/26,12.3
Planted acres,Upland Cotton,Crops,Million acres,Market year,2026/27,12.4
Planted acres,Upland Cotton,Crops,Million acres,Market year,2027/28,12.5
Planted acres,Upland Cotton,Crops,Million acres,Market year,2028/29,12.6
Planted acres,Upland Cotton,Crops,Million acres,Market year,2029/30,12.7
Planted acres,Upland Cotton,Crops,Million acres,Market year,2030/31,12.8
Planted acres,Oats,Crops,Million acres,Market year,2019/20,2.8
Planted acres,Oats,Crops,Million acres,Market year,2020/21,3
Planted acres,Oats,Crops,Million acres,Market year,2021/22,2.9
Planted acres,Oats,Crops,Million acres,Market year,2022/23,2.8
Planted acres,Oats,Crops,Million acres,Market year,2023/24,2.8
Planted acres,Oats,Crops,Million acres,Market year,2024/25,2.8
Planted acres,Oats,Crops,Million acres,Market year,2025/26,2.8
Planted acres,Oats,Crops,Million acres,Market year,2026/27,2.8
Planted acres,Oats,Crops,Million acres,Market year,2027/28,2.8
Planted acres,Oats,Crops,Million acres,Market year,2028/29,2.8
Planted acres,Oats,Crops,Million acres,Market year,2029/30,2.7
Planted acres,Oats,Crops,Million acres,Market year,2030/31,2.7
Planted acres,Sorghum,Crops,Million acres,Market year,2019/20,5.3
Planted acres,Sorghum,Crops,Million acres,Market year,2020/21,5.8
Planted acres,Sorghum,Crops,Million acres,Market year,2021/22,7
Planted acres,Sorghum,Crops,Million acres,Market year,2022/23,7
Planted acres,Sorghum,Crops,Million acres,Market year,2023/24,7
Planted acres,Sorghum,Crops,Million acres,Market year,2024/25,7
Planted acres,Sorghum,Crops,Million acres,Market year,2025/26,7
Planted acres,Sorghum,Crops,Million acres,Market year,2026/27,7
Planted acres,Sorghum,Crops,Million acres,Market year,2027/28,7
Planted acres,Sorghum,Crops,Million acres,Market year,2028/29,7
Planted acres,Sorghum,Crops,Million acres,Market year,2029/30,7
Planted acres,Sorghum,Crops,Million acres,Market year,2030/31,7
Planted acres,Soybeans,Crops,Million acres,Market year,2019/20,76.1
Planted acres,Soybeans,Crops,Million acres,Market year,2020/21,83.1
Planted acres,Soybeans,Crops,Million acres,Market year,2021/22,89
Planted acres,Soybeans,Crops,Million acres,Market year,2022/23,90
Planted acres,Soybeans,Crops,Million acres,Market year,2023/24,90
Planted acres,Soybeans,Crops,Million acres,Market year,2024/25,90.5
Planted acres,Soybeans,Crops,Million acres,Market year,2025/26,90.5
Planted acres,Soybeans,Crops,Million acres,Market year,2026/27,90
Planted acres,Soybeans,Crops,Million acres,Market year,2027/28,90
Planted acres,Soybeans,Crops,Million acres,Market year,2028/29,90
Planted acres,Soybeans,Crops,Million acres,Market year,2029/30,90
Planted acres,Soybeans,Crops,Million acres,Market year,2030/31,90
Planted acres,Wheat,Crops,Million acres,Market year,2019/20,45.5
Planted acres,Wheat,Crops,Million acres,Market year,2020/21,44.3
Planted acres,Wheat,Crops,Million acres,Market year,2021/22,46
Planted acres,Wheat,Crops,Million acres,Market year,2022/23,46
Planted acres,Wheat,Crops,Million acres,Market year,2023/24,46
Planted acres,Wheat,Crops,Million acres,Market year,2024/25,45.5
Planted acres,Wheat,Crops,Million acres,Market year,2025/26,45
Planted acres,Wheat,Crops,Million acres,Market year,2026/27,45
Planted acres,Wheat,Crops,Million acres,Market year,2027/28,45
Planted acres,Wheat,Crops,Million acres,Market year,2028/29,44.5
Planted acres,Wheat,Crops,Million acres,Market year,2029/30,44.5
Planted acres,Wheat,Crops,Million acres,Market year,2030/31,44.5
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2019,293.6
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2020,285
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2021,288
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2022,289.1
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2023,292.6
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2024,295.9
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2025,299.3
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2026,302.9
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2027,306.4
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2028,310
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2029,313.3
Per capita disappearance,Egg,Livestock/Dairy,Number per capita,Calendar year,2030,316.8
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,58.1
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,58.8
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,58
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,55.9
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,56.4
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,56.4
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,56.7
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,56.9
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,57.2
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,57.4
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,57.6
Beef,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,57.8
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,95.1
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,96.4
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,96.9
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,96
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,96.7
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,97.3
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,97.9
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,98.5
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,99.1
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,99.8
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,100.4
Broilers,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,101.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,1.1
Lamb & mutton,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,1.1
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,111.9
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,111.4
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,111
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,106.2
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,107.1
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,107.3
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,108.2
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,109
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,109.4
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,110.1
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,110.4
Total red meat,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,110.5
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,1.4
Other chicken,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,1.4
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,52.4
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,51.3
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,51.6
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,49
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,49.4
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,49.6
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,50.2
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,50.8
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,50.9
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,51.4
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,51.4
Pork,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,51.4
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,16
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,15.8
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,15.7
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,15.5
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,15.4
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,15.3
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,15.2
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,15.2
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,15.2
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,15.1
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,15.1
Turkeys,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,15
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,0.2
Veal,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,0.2
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,112.5
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,113.7
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,114
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,112.8
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,113.5
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,114
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,114.5
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,115.1
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,115.7
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,116.3
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,116.9
Total poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,117.6
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2019,224.4
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2020,225
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2021,224.9
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2022,219.1
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2023,220.6
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2024,221.3
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2025,222.7
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2026,224.1
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2027,225.1
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2028,226.4
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2029,227.3
Red meat & poultry,"Per capita meat consumption, retail weight",Livestock/Dairy,Pounds per capita,Calendar year,2030,228.1
Beginning stocks,Barley,Crops,Million bushels,Market year,2019/20,87
Beginning stocks,Barley,Crops,Million bushels,Market year,2020/21,80
Beginning stocks,Barley,Crops,Million bushels,Market year,2021/22,79
Beginning stocks,Barley,Crops,Million bushels,Market year,2022/23,80
Beginning stocks,Barley,Crops,Million bushels,Market year,2023/24,83
Beginning stocks,Barley,Crops,Million bushels,Market year,2024/25,82
Beginning stocks,Barley,Crops,Million bushels,Market year,2025/26,83
Beginning stocks,Barley,Crops,Million bushels,Market year,2026/27,80
Beginning stocks,Barley,Crops,Million bushels,Market year,2027/28,79
Beginning stocks,Barley,Crops,Million bushels,Market year,2028/29,80
Beginning stocks,Barley,Crops,Million bushels,Market year,2029/30,82
Beginning stocks,Barley,Crops,Million bushels,Market year,2030/31,86
Beginning stocks,Corn,Crops,Million bushels,Market year,2019/20,2221
Beginning stocks,Corn,Crops,Million bushels,Market year,2020/21,1995
Beginning stocks,Corn,Crops,Million bushels,Market year,2021/22,2167
Beginning stocks,Corn,Crops,Million bushels,Market year,2022/23,2257
Beginning stocks,Corn,Crops,Million bushels,Market year,2023/24,2367
Beginning stocks,Corn,Crops,Million bushels,Market year,2024/25,2442
Beginning stocks,Corn,Crops,Million bushels,Market year,2025/26,2562
Beginning stocks,Corn,Crops,Million bushels,Market year,2026/27,2672
Beginning stocks,Corn,Crops,Million bushels,Market year,2027/28,2687
Beginning stocks,Corn,Crops,Million bushels,Market year,2028/29,2742
